city_name,weather_description,temperature,atmospheric_pressure,humidity,wind_speed,cloudiness,rain,current_luminosity,sunrise,sunset,creation_date
Porto,"céu pouco nublado",11,1029,100,1,20,0,DARK,"2019-02-28 07:09:27.000000","2019-02-28 18:24:49.000000","2019-02-28 23:04:58.000000"
Porto,"céu pouco nublado",11,1029,100,1,20,0,DARK,"2019-02-28 07:09:30.000000","2019-02-28 18:24:46.000000","2019-02-28 22:04:58.000000"
Porto,"nuvens dispersas",11,1029,93,2,40,0,DARK,"2019-02-28 07:09:34.000000","2019-02-28 18:24:43.000000","2019-02-28 21:04:58.000000"
Porto,"nuvens quebradas",12,1029,93,3,75,0,DARK,"2019-02-28 07:09:38.000000","2019-02-28 18:24:40.000000","2019-02-28 20:04:58.000000"
Porto,"céu pouco nublado",12,1029,87,3,20,0,DARK,"2019-02-28 07:09:42.000000","2019-02-28 18:24:37.000000","2019-02-28 19:04:58.000000"
Porto,"algumas nuvens",13,1029,87,4,20,0,LOW_LIGHT,"2019-02-28 07:09:46.000000","2019-02-28 18:24:35.000000","2019-02-28 18:04:58.000000"
Porto,"algumas nuvens",14,1029,82,4,20,0,LIGHT,"2019-02-28 07:09:50.000000","2019-02-28 18:24:32.000000","2019-02-28 17:04:58.000000"
Porto,"algumas nuvens",15,1030,82,4,20,0,LIGHT,"2019-02-28 07:09:54.000000","2019-02-28 18:24:29.000000","2019-02-28 16:04:58.000000"
Porto,"algumas nuvens",15,1030,82,3,20,0,LIGHT,"2019-02-28 07:09:57.000000","2019-02-28 18:24:26.000000","2019-02-28 15:04:58.000000"
Porto,"céu claro",15,1031,76,2,0,0,LIGHT,"2019-02-28 07:10:01.000000","2019-02-28 18:24:23.000000","2019-02-28 14:04:58.000000"
Porto,"céu claro",15,1032,71,2,0,0,LIGHT,"2019-02-28 07:10:05.000000","2019-02-28 18:24:20.000000","2019-02-28 13:04:59.000000"
Porto,"céu claro",14,1032,71,3,0,0,LIGHT,"2019-02-28 07:10:09.000000","2019-02-28 18:24:17.000000","2019-02-28 12:04:58.000000"
Porto,"céu claro",12,1032,81,1,0,0,LIGHT,"2019-02-28 07:10:13.000000","2019-02-28 18:24:14.000000","2019-02-28 11:04:59.000000"
Porto,"céu claro",10,1032,93,1,0,0,LIGHT,"2019-02-28 07:10:17.000000","2019-02-28 18:24:11.000000","2019-02-28 10:04:58.000000"
Porto,"algumas nuvens",8,1032,93,1,12,0,LIGHT,"2019-02-28 07:10:21.000000","2019-02-28 18:24:08.000000","2019-02-28 09:04:58.000000"
Porto,"algumas nuvens",5,1031,100,1,20,0,LIGHT,"2019-02-28 07:10:24.000000","2019-02-28 18:24:05.000000","2019-02-28 08:04:59.000000"
Porto,"algumas nuvens",5,1031,100,0,20,0,DARK,"2019-02-28 07:10:28.000000","2019-02-28 18:24:03.000000","2019-02-28 07:04:58.000000"
Porto,"algumas nuvens",5,1031,100,1,20,0,DARK,"2019-02-28 07:10:32.000000","2019-02-28 18:24:00.000000","2019-02-28 06:04:58.000000"
Porto,"nuvens dispersas",6,1030,100,0,48,0,DARK,"2019-02-28 07:10:36.000000","2019-02-28 18:23:57.000000","2019-02-28 05:04:58.000000"
Porto,"céu claro",6,1031,100,0,0,0,DARK,"2019-02-28 07:10:40.000000","2019-02-28 18:23:54.000000","2019-02-28 04:04:58.000000"
Porto,"tempo nublado",7,1031,100,1,88,0,DARK,"2019-02-28 07:10:44.000000","2019-02-28 18:23:51.000000","2019-02-28 03:04:58.000000"
Porto,"tempo nublado",7,1031,100,1,88,0,DARK,"2019-02-28 07:10:47.000000","2019-02-28 18:23:48.000000","2019-02-28 02:05:01.000000"
Porto,"algumas nuvens",8,1031,100,1,20,0,DARK,"2019-02-28 07:10:51.000000","2019-02-28 18:23:45.000000","2019-02-28 01:04:58.000000"
Porto,"céu claro",9,1031,100,1,0,0,DARK,"2019-02-28 07:10:55.000000","2019-02-28 18:23:42.000000","2019-02-28 00:04:58.000000"
Porto,"céu claro",10,1031,100,0,0,0,DARK,"2019-02-27 07:10:59.000000","2019-02-27 18:23:39.000000","2019-02-27 23:04:58.000000"
Porto,"céu claro",10,1031,93,1,0,0,DARK,"2019-02-27 07:11:03.000000","2019-02-27 18:23:36.000000","2019-02-27 22:04:58.000000"
Porto,"céu claro",11,1031,93,0,0,0,DARK,"2019-02-27 07:11:07.000000","2019-02-27 18:23:34.000000","2019-02-27 21:04:58.000000"
Porto,"algumas nuvens",12,1030,87,0,20,0,DARK,"2019-02-27 07:11:10.000000","2019-02-27 18:23:31.000000","2019-02-27 20:04:58.000000"
Porto,"algumas nuvens",13,1030,87,1,20,0,DARK,"2019-02-27 07:11:14.000000","2019-02-27 18:23:28.000000","2019-02-27 19:04:58.000000"
Porto,"algumas nuvens",14,1029,76,1,20,0,LOW_LIGHT,"2019-02-27 07:11:18.000000","2019-02-27 18:23:25.000000","2019-02-27 18:04:58.000000"
Porto,"algumas nuvens",15,1029,72,2,20,0,LIGHT,"2019-02-27 07:11:22.000000","2019-02-27 18:23:22.000000","2019-02-27 17:04:58.000000"
Porto,"nuvens dispersas",15,1028,67,2,40,0,LIGHT,"2019-02-27 07:11:26.000000","2019-02-27 18:23:19.000000","2019-02-27 16:04:59.000000"
Porto,"nuvens dispersas",16,1028,72,3,40,0,LIGHT,"2019-02-27 07:11:30.000000","2019-02-27 18:23:16.000000","2019-02-27 15:04:58.000000"
Porto,"nuvens dispersas",15,1028,72,4,40,0,LIGHT,"2019-02-27 07:11:33.000000","2019-02-27 18:23:13.000000","2019-02-27 14:04:58.000000"
Porto,"chuva moderada",15,1029,76,3,75,0,LIGHT,"2019-02-27 07:11:37.000000","2019-02-27 18:23:10.000000","2019-02-27 13:04:59.000000"
Porto,"nuvens quebrados",16,1028,77,5,75,0,LIGHT,"2019-02-27 07:11:41.000000","2019-02-27 18:23:07.000000","2019-02-27 12:04:58.000000"
Porto,"nuvens quebrados",15,1028,62,7,75,0,LIGHT,"2019-02-27 07:11:45.000000","2019-02-27 18:23:04.000000","2019-02-27 11:04:58.000000"
Porto,"nuvens dispersas",15,1027,58,7,40,0,LIGHT,"2019-02-27 07:11:49.000000","2019-02-27 18:23:01.000000","2019-02-27 10:04:58.000000"
Porto,"nuvens dispersas",13,1026,58,6,40,0,LIGHT,"2019-02-27 07:11:52.000000","2019-02-27 18:22:59.000000","2019-02-27 09:04:58.000000"
Porto,"nuvens dispersas",11,1026,62,5,40,0,LIGHT,"2019-02-27 07:11:56.000000","2019-02-27 18:22:56.000000","2019-02-27 08:04:58.000000"
Porto,"algumas nuvens",11,1025,62,5,20,0,DARK,"2019-02-27 07:12:00.000000","2019-02-27 18:22:53.000000","2019-02-27 07:04:58.000000"
Porto,"céu claro",12,1025,71,5,0,0,DARK,"2019-02-27 07:12:04.000000","2019-02-27 18:22:50.000000","2019-02-27 06:04:58.000000"
Porto,"céu claro",12,1025,62,5,0,0,DARK,"2019-02-27 07:12:08.000000","2019-02-27 18:22:47.000000","2019-02-27 05:04:58.000000"
Porto,"céu claro",12,1024,67,6,0,0,DARK,"2019-02-27 07:12:11.000000","2019-02-27 18:22:44.000000","2019-02-27 04:04:58.000000"
Porto,"céu claro",12,1024,81,2,0,0,DARK,"2019-02-27 07:12:15.000000","2019-02-27 18:22:41.000000","2019-02-27 03:04:58.000000"
Porto,"céu claro",12,1024,76,2,0,0,DARK,"2019-02-27 07:12:19.000000","2019-02-27 18:22:38.000000","2019-02-27 02:04:59.000000"
Porto,"céu claro",12,1024,76,1,0,0,DARK,"2019-02-27 07:12:23.000000","2019-02-27 18:22:35.000000","2019-02-27 01:04:58.000000"
Porto,"céu claro",14,1024,71,2,0,0,DARK,"2019-02-27 07:12:27.000000","2019-02-27 18:22:32.000000","2019-02-27 00:04:58.000000"
Porto,"céu claro",14,1024,71,1,0,0,DARK,"2019-02-26 07:12:30.000000","2019-02-26 18:22:29.000000","2019-02-26 23:04:58.000000"
Porto,"céu claro",15,1023,55,1,0,0,DARK,"2019-02-26 07:12:34.000000","2019-02-26 18:22:26.000000","2019-02-26 22:04:58.000000"
Porto,"céu claro",16,1023,67,1,0,0,DARK,"2019-02-26 07:12:38.000000","2019-02-26 18:22:23.000000","2019-02-26 21:04:58.000000"
Porto,"céu claro",17,1023,62,1,0,0,DARK,"2019-02-26 07:12:42.000000","2019-02-26 18:22:21.000000","2019-02-26 20:04:58.000000"
Porto,"céu claro",18,1022,59,2,0,0,DARK,"2019-02-26 07:12:46.000000","2019-02-26 18:22:18.000000","2019-02-26 19:04:58.000000"
Porto,"céu claro",19,1022,42,1,0,0,LOW_LIGHT,"2019-02-26 07:12:49.000000","2019-02-26 18:22:15.000000","2019-02-26 18:04:58.000000"
Porto,"céu claro",21,1022,42,2,0,0,LIGHT,"2019-02-26 07:12:53.000000","2019-02-26 18:22:12.000000","2019-02-26 17:04:59.000000"
Porto,"céu claro",22,1022,40,3,0,0,LIGHT,"2019-02-26 07:12:57.000000","2019-02-26 18:22:09.000000","2019-02-26 16:04:58.000000"
Porto,"céu claro",22,1022,33,3,0,0,LIGHT,"2019-02-26 07:13:01.000000","2019-02-26 18:22:06.000000","2019-02-26 15:04:58.000000"
Porto,"céu claro",22,1023,31,4,0,0,LIGHT,"2019-02-26 07:13:05.000000","2019-02-26 18:22:03.000000","2019-02-26 14:04:58.000000"
Porto,"céu claro",21,1024,33,5,0,0,LIGHT,"2019-02-26 07:13:08.000000","2019-02-26 18:22:00.000000","2019-02-26 13:05:02.000000"
Porto,"céu claro",20,1024,40,5,0,0,LIGHT,"2019-02-26 07:13:12.000000","2019-02-26 18:21:57.000000","2019-02-26 12:04:58.000000"
Porto,"céu claro",18,1025,48,4,0,0,LIGHT,"2019-02-26 07:13:16.000000","2019-02-26 18:21:54.000000","2019-02-26 11:04:58.000000"
Porto,"céu claro",15,1025,51,4,0,0,LIGHT,"2019-02-26 07:13:20.000000","2019-02-26 18:21:51.000000","2019-02-26 10:04:58.000000"
Porto,"céu claro",13,1025,58,4,0,0,LIGHT,"2019-02-26 07:13:23.000000","2019-02-26 18:21:48.000000","2019-02-26 09:04:58.000000"
Porto,"céu claro",10,1025,71,3,0,0,LIGHT,"2019-02-26 07:13:27.000000","2019-02-26 18:21:45.000000","2019-02-26 08:04:58.000000"
